seed,heater_state,block,n,generator_independent_target_innovation_mean,generator_independent_target_innovation_std,generator_persistent_mode_strength_mean,generator_persistent_mode_strength_std,resource_optional_effective_power_mean,resource_optional_effective_power_std,agent_context_quality_radiometer_basic_mean,agent_context_quality_radiometer_basic_std,agent_context_quality_surface_temp_ir_mean,agent_context_quality_surface_temp_ir_std,agent_context_quality_laser_disdrometer_mean,agent_context_quality_laser_disdrometer_std,agent_context_quality_fc4_flux_mean,agent_context_quality_fc4_flux_std
7177,00000,0,5,0.32616090624407323,0.11313292103810128,0.6496404402193712,0.18775991457209415,3.8600000000000003,4.440892098500626e-16,0.42702238762243383,0.1601367023540123,0.5549814444305865,0.3415861363714554,0.7235330514002813,0.3225704870030993,0.666429700924707,0.05803009112099509
7177,00000,1,13,0.5670433150925888,0.2893039673136933,0.6285492068798516,0.21091015628333012,3.86,0.0,0.6856304083186592,0.26127654357628716,0.6648711449438118,0.10090089761362443,0.40018908042781587,0.25779762507792187,0.6012024029602172,0.2961827234506647
7177,00000,2,26,0.6543555510890655,0.3110480517082255,0.591514938406256,0.24759633607828788,3.86,0.0,0.6935202970758056,0.24461518927722722,0.4690999131977611,0.20448527908075317,0.4165560089617447,0.2697323841199868,0.8005100888407602,0.13526264710138758
7177,00000,3,20,-0.5558769798547398,0.24484134320457618,0.49832699666478836,0.2136418750245442,3.8600000000000003,4.440892098500626e-16,0.6053804316089813,0.20535112536201067,0.30250772075060134,0.1331105769824922,0.49301994502880103,0.25434710855306225,0.8409933327491166,0.1774995506786038
7177,00000,4,49,0.005526367824110242,0.4117699465024474,0.6143954275958945,0.2660713624341573,3.8600000000000003,4.440892098500626e-16,0.7537375093051225,0.2283464443905922,0.38906001561097575,0.10710068735536266,0.5313421666430915,0.2801720978910634,0.593650067643463,0.3312464665104953
7177,00000,5,41,-0.20007367288749928,0.34306314314340886,0.34136463569998665,0.25902771484203985,3.8600000000000003,4.440892098500626e-16,0.7344427130169797,0.22194015078587254,0.34541978717624455,0.09963076956133568,0.5528635027070465,0.2329714792772453,0.7659018786864695,0.23072588348870102
7177,00000,6,19,0.6770890291432997,0.1110007134024941,0.44019001753528353,0.23498921342779489,3.8600000000000003,4.440892098500626e-16,0.6861812387109769,0.26421924948811326,0.44428175471158776,0.20554881470026146,0.7720358374498948,0.22424653345455478,0.7255251900195331,0.1869691717891736
7177,00000,7,39,0.7308535744636141,0.2158098390234523,0.6851411557166087,0.2168007434164048,3.860000000000002,2.220446049250313e-15,0.7217210575408,0.2502224780410469,0.4307537259339209,0.2667605174029315,0.5524950778724825,0.2867255875068193,0.6933926793345643,0.2435695631951729
7177,00000,8,17,0.07113041162676961,0.24449994001633382,0.36489443074422623,0.2518326825721233,3.8600000000000003,4.440892098500626e-16,0.4689311396324034,0.04205953986306285,0.46454553309690744,0.17525939702293838,0.5913906943508239,0.33898258294049977,0.8744824868298151,0.0890822744061985
7177,00000,9,6,0.4466740458397069,0.1502517034216863,0.16308546586279335,0.0915099724166858,3.86,0.0,0.4428001662196601,0.01932847987847917,0.6550354258814896,0.141499641126316,0.40914465354492474,0.17470131534705963,0.8277309718010794,0.15504357690857012
